year,is_knockout,team_1_score,team_2_score,team_1_name,team_1_is_home_nation,team_1_top_goalscorers_count,team_1_premier_league_players,team_1_laliga_players,team_1_serie_a_players,team_1_bundesliga_players,team_1_ligue_1_players,team_1_players_finishing_top_three_europe_domestic,team_1_n_unique_clubs,team_1_qualified_last_time,team_1_made_r16_last_time,team_1_made_quarters_last_time,team_1_made_semis_last_time,team_1_made_final_last_time,team_1_ranking,team_2_name,team_2_is_home_nation,team_2_top_goalscorers_count,team_2_premier_league_players,team_2_laliga_players,team_2_serie_a_players,team_2_bundesliga_players,team_2_ligue_1_players,team_2_players_finishing_top_three_europe_domestic,team_2_n_unique_clubs,team_2_qualified_last_time,team_2_made_r16_last_time,team_2_made_quarters_last_time,team_2_made_semis_last_time,team_2_made_final_last_time,team_2_ranking
1998,0,2,1,italy,0,2,1,1,20,0,0,8,10,1,1,1,1,1,14,austria,0,0,1,1,1,5,1,1,14,0,0,0,0,0,31
1998,0,1,1,chile,0,0,0,0,1,0,0,1,10,0,0,0,0,0,9,cameroon,0,0,2,1,1,1,4,1,21,1,0,0,0,0,49
1998,0,0,1,saudi arabia,0,0,0,0,0,0,0,0,9,1,1,0,0,0,34,denmark,0,0,4,0,2,3,0,5,18,0,0,0,0,0,27
1998,0,3,0,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18,south africa,0,0,2,1,1,1,1,0,20,0,0,0,0,0,24
1998,0,4,0,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18,saudi arabia,0,0,0,0,0,0,0,0,9,1,1,0,0,0,34
1998,0,1,1,south africa,0,0,2,1,1,1,1,0,20,0,0,0,0,0,24,denmark,0,0,4,0,2,3,0,5,18,0,0,0,0,0,27
1998,0,2,1,france,1,2,3,1,7,1,10,10,15,0,0,0,0,0,18,denmark,0,0,4,0,2,3,0,5,18,0,0,0,0,0,27
1998,0,2,2,south africa,0,0,2,1,1,1,1,0,20,0,0,0,0,0,24,saudi arabia,0,0,0,0,0,0,0,0,9,1,1,0,0,0,34
1998,0,0,0,paraguay,0,0,0,2,0,0,0,0,19,0,0,0,0,0,29,bulgaria,0,0,0,1,0,3,0,1,15,1,1,1,1,0,35
1998,0,2,3,spain,0,1,0,22,0,0,0,12,8,1,1,1,0,0,15,nigeria,0,1,1,3,2,0,3,5,19,1,1,0,0,0,74
1998,0,1,0,nigeria,0,1,1,3,2,0,3,5,19,1,1,0,0,0,74,bulgaria,0,0,0,1,0,3,0,1,15,1,1,1,1,0,35
1998,0,0,0,spain,0,1,0,22,0,0,0,12,8,1,1,1,0,0,15,paraguay,0,0,0,2,0,0,0,0,19,0,0,0,0,0,29
1998,0,6,1,spain,0,1,0,22,0,0,0,12,8,1,1,1,0,0,15,bulgaria,0,0,0,1,0,3,0,1,15,1,1,1,1,0,35
1998,0,1,3,nigeria,0,1,1,3,2,0,3,5,19,1,1,0,0,0,74,paraguay,0,0,0,2,0,0,0,0,19,0,0,0,0,0,29
1998,0,0,0,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25,belgium,0,0,0,0,2,1,1,1,13,1,1,0,0,0,36
1998,0,1,3,south korea,0,0,2,0,0,0,1,0,14,1,0,0,0,0,20,mexico,0,0,0,0,0,0,0,0,10,1,1,0,0,0,4
1998,0,5,0,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25,south korea,0,0,2,0,0,0,1,0,14,1,0,0,0,0,20
1998,0,2,2,belgium,0,0,0,0,2,1,1,1,13,1,1,0,0,0,36,mexico,0,0,0,0,0,0,0,0,10,1,1,0,0,0,4
1998,0,1,1,belgium,0,0,0,0,2,1,1,1,13,1,1,0,0,0,36,south korea,0,0,2,0,0,0,1,0,14,1,0,0,0,0,20
1998,0,2,2,netherlands,0,1,4,4,3,0,0,7,12,1,1,1,0,0,25,mexico,0,0,0,0,0,0,0,0,10,1,1,0,0,0,4
1998,0,1,0,yugoslavia,0,0,1,7,5,1,1,2,21,0,0,0,0,0,8,iran,0,0,0,0,0,3,0,0,9,0,0,0,0,0,42
1998,0,2,0,germany,0,3,1,0,2,17,1,10,11,1,1,1,0,0,2,united states,0,0,2,0,0,3,0,1,14,1,1,0,0,0,11
1998,0,2,2,germany,0,3,1,0,2,17,1,10,11,1,1,1,0,0,2,yugoslavia,0,0,1,7,5,1,1,2,21,0,0,0,0,0,8
1998,0,1,2,united states,0,0,2,0,0,3,0,1,14,1,1,0,0,0,11,iran,0,0,0,0,0,3,0,0,9,0,0,0,0,0,42
1998,0,2,0,germany,0,3,1,0,2,17,1,10,11,1,1,1,0,0,2,iran,0,0,0,0,0,3,0,0,9,0,0,0,0,0,42
1998,0,0,1,united states,0,0,2,0,0,3,0,1,14,1,1,0,0,0,11,yugoslavia,0,0,1,7,5,1,1,2,21,0,0,0,0,0,8
1998,0,1,0,romania,0,0,2,5,0,1,0,1,17,1,1,1,0,0,22,colombia,0,0,0,2,1,0,0,1,17,1,0,0,0,0,10
1998,0,2,0,england,0,1,21,0,0,0,0,10,11,0,0,0,0,0,5,tunisia,0,0,0,0,0,0,1,0,8,0,0,0,0,0,21
